he his father's 
page subpage webpage 
pages subpages webpages 

signed agreed promised 
signing agreeing promising 

process procedure requirement 
processes procedures requirements 

process method technique 
processes methods techniques 

parents parent parental 
rents rent rental 

continued remained stayed 
continue remain stay 

discovered discovers discovering 
recovered recovers recovering 

discovered discovery discovering 
recovered recovery recovering 

discovered discovery discoveries 
explored exploration explorations 

discovered discoveries discovering 
explored explorations exploring 

discovered recovered repaired 
discovering recovering repairing 

discovered covered recovered 
discovering covering recovering 

discovered explored searched 
discovering exploring searching 

discovered explored searched 
discovery exploration search 

longer shorter narrower 
longest shortest narrowest 

longer stronger tougher 
longest strongest toughest 

artist painter sculptor 
artists painters sculptors 

henry edward harold 
henry's edward's harold's 

christian christianity christians 
baptist baptism baptists 

christian lutheran theologian 
christians lutherans theologians 

christian baptist calvinist 
christianity baptism calvinism 

christian baptist lutheran 
christians baptists lutherans 

low lowest lowered 
slow slowest slowed 

